1,S1V1,1,1,1,1,﻿بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,﻿بسم الله الرحمن الرحيم,1,1,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/1,https://cdn.islamic.network/quran/audio/128/ar.alafasy/1.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/1.mp3,0
2,S1V2,1,1,1,1,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,الحمد لله رب العالمين,2,2,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/2,https://cdn.islamic.network/quran/audio/128/ar.alafasy/2.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/2.mp3,0
3,S1V3,1,1,1,1,الرَّحْمَٰنِ الرَّحِيمِ,الرحمن الرحيم,3,3,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/3.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/3.mp3,0
4,S1V4,1,1,1,1,مَالِكِ يَوْمِ الدِّينِ,مالك يوم الدين,4,4,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/4,https://cdn.islamic.network/quran/audio/128/ar.alafasy/4.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/4.mp3,0
5,S1V5,1,1,1,1,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,إياك نعبد وإياك نستعين,5,5,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/5,https://cdn.islamic.network/quran/audio/128/ar.alafasy/5.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/5.mp3,0
6,S1V6,1,1,1,1,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,اهدنا الصراط المستقيم,6,6,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/6,https://cdn.islamic.network/quran/audio/128/ar.alafasy/6.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/6.mp3,0
7,S1V7,1,1,1,1,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,7,7,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/7,https://cdn.islamic.network/quran/audio/128/ar.alafasy/7.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/7.mp3,0
8,S2V1,2,1,1,2,الم,الم,1,8,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/8,https://cdn.islamic.network/quran/audio/128/ar.alafasy/8.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/8.mp3,0
9,S2V2,2,1,1,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,ذلك الكتاب لا ريب  فيه  هدى للمتقين,2,9,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/9,https://cdn.islamic.network/quran/audio/128/ar.alafasy/9.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/9.mp3,0
10,S2V3,2,1,1,2,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,3,10,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/10,https://cdn.islamic.network/quran/audio/128/ar.alafasy/10.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/10.mp3,0
11,S2V4,2,1,1,2,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,4,11,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/11,https://cdn.islamic.network/quran/audio/128/ar.alafasy/11.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/11.mp3,0
12,S2V5,2,1,1,2,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,أولئك على هدى من ربهم  وأولئك هم المفلحون,5,12,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/12,https://cdn.islamic.network/quran/audio/128/ar.alafasy/12.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/12.mp3,0
13,S2V6,3,1,1,2,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,6,13,https://cdn.alquran.cloud/media/audio/ayah/ar.alafasy/13,https://cdn.islamic.network/quran/audio/128/ar.alafasy/13.mp3,https://cdn.islamic.network/quran/audio/128/ar.alafasy/13.mp3,0
